"Peiljaar";"Statcode";"Wijk";"Gemeente";"RIEC";"Provincie";"% (klasse) - wijk";"% - wijk";"Aantal personen - wijk";"% - gemeente";"Aantal personen - gemeente";"% - provincie";"Aantal personen - provincie";"% - RIEC";"Aantal personen - RIEC";"% - Nederland";"Aantal personen - Nederland"
2022;"WK020209";"Alteveer/Cranevelt (wijk)";"Arnhem";"Oost-Nederland";"Gelderland";"Onbekend";;;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020203";"Arnhemse Broek (wijk)";"Arnhem";"Oost-Nederland";"Gelderland";"8,7  -  10,9";9,2;100;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020212";"Burgemeesterswijk/Hoogkamp";"Arnhem";"Oost-Nederland";"Gelderland";"4,4  -  6,1";4,4;65;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020201";"Centrum (wijk)";"Arnhem";"Oost-Nederland";"Gelderland";"4,4  -  6,1";5,6;65;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020222";"De Laar (wijk)";"Arnhem";"Oost-Nederland";"Gelderland";"6,1  -  8,7";7,9;150;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020220";"Elden (wijk)";"Arnhem";"Oost-Nederland";"Gelderland";"<  4,4";3;15;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020221";"Elderveld";"Arnhem";"Oost-Nederland";"Gelderland";"6,1  -  8,7";7,3;95;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020210";"Geitenkamp (wijk)";"Arnhem";"Oost-Nederland";"Gelderland";">=  10,9";15,2;80;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020214";"Heijenoord/Lombok";"Arnhem";"Oost-Nederland";"Gelderland";"4,4  -  6,1";5,2;30;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020207";"Klarendal";"Arnhem";"Oost-Nederland";"Gelderland";"6,1  -  8,7";7;80;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020215";"Klingelbeek e.o.";"Arnhem";"Oost-Nederland";"Gelderland";"Onbekend";;;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020217";"Malburgen-Oost (Noord)";"Arnhem";"Oost-Nederland";"Gelderland";"8,7  -  10,9";9,3;100;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020218";"Malburgen-Oost (Zuid)";"Arnhem";"Oost-Nederland";"Gelderland";">=  10,9";10,9;175;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020216";"Malburgen-West (wijk)";"Arnhem";"Oost-Nederland";"Gelderland";"6,1  -  8,7";7,5;55;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020211";"Monnikenhuizen (wijk)";"Arnhem";"Oost-Nederland";"Gelderland";"6,1  -  8,7";8,1;50;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020205";"Presikhaaf-Oost";"Arnhem";"Oost-Nederland";"Gelderland";"6,1  -  8,7";6,1;95;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020204";"Presikhaaf-West";"Arnhem";"Oost-Nederland";"Gelderland";"8,7  -  10,9";10,5;170;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020223";"Rijkerswoerd";"Arnhem";"Oost-Nederland";"Gelderland";"4,4  -  6,1";5,8;130;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020213";"Schaarsbergen (wijk)";"Arnhem";"Oost-Nederland";"Gelderland";"Onbekend";;;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020224";"Schuytgraaf";"Arnhem";"Oost-Nederland";"Gelderland";"<  4,4";4,3;115;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020202";"Spijkerkwartier";"Arnhem";"Oost-Nederland";"Gelderland";"4,4  -  6,1";5,5;70;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020206";"St. Marten/Sonsbeek";"Arnhem";"Oost-Nederland";"Gelderland";"<  4,4";4,2;40;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020208";"Velperweg e.o.";"Arnhem";"Oost-Nederland";"Gelderland";"<  4,4";3,6;50;6,7;1850;4,3;15285;4,3;23955;5;143755
2022;"WK020219";"Vredenburg/Kronenburg";"Arnhem";"Oost-Nederland";"Gelderland";"8,7  -  10,9";8,7;100;6,7;1850;4,3;15285;4,3;23955;5;143755
